mockservice
edp INFO EDP WebServer start, http://192.168.1.103:8830
edp INFO root = [/Users/cgzero/百度云同步盘/htdocs/baidu/imgUploader], listen = [8830] 
edp INFO GET /src/uploader.less 200 - - 19.838 ms
edp INFO GET /example/jquery.js 200 - - 24.402 ms
edp INFO GET /src/main.js 200 - - 2.511 ms
edp INFO GET /src/lib.js 200 - - 7.005 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 13.961 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.893 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_1&name=03a4443862867972e2f7a70474c8b3c1.png&type=image%2Fpng&lastModifiedDate=Sun+Mar+15+2015+01%3A19%3A14+GMT%2B0800+(CST)&size=1678584 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_1&name=03a4443862867972e2f7a70474c8b3c1.png&type=image%2Fpng&lastModifiedDate=Sun+Mar+15+2015+01%3A19%3A14+GMT%2B0800+(CST)&size=1678584 200 - - 126.323 ms
edp INFO GET /example/ 200 - - 1.023 ms
edp INFO GET /src/uploader.less 200 - - 31.993 ms
edp INFO GET /example/jquery.js 200 - - 36.884 ms
edp INFO GET /src/main.js 200 - - 2.363 ms
edp INFO GET /src/lib.js 200 - - 8.304 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 14.804 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.014 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 45.144 ms
edp INFO GET /example/ 200 - - 1.058 ms
edp INFO GET /src/uploader.less 200 - - 13.281 ms
edp INFO GET /example/jquery.js 200 - - 18.643 ms
edp INFO GET /src/main.js 200 - - 2.224 ms
edp INFO GET /src/lib.js 200 - - 4.705 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 12.565 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.045 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 43.616 ms
edp INFO GET /example/ 200 - - 0.957 ms
edp INFO GET /src/uploader.less 200 - - 10.371 ms
edp INFO GET /example/jquery.js 200 - - 15.467 ms
edp INFO GET /src/main.js 200 - - 1.932 ms
edp INFO GET /src/lib.js 200 - - 1.933 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 11.301 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.223 ms
edp INFO GET /example/ 200 - - 0.939 ms
edp INFO GET /src/uploader.less 200 - - 8.036 ms
edp INFO GET /example/jquery.js 200 - - 12.239 ms
edp INFO GET /src/main.js 200 - - 2.782 ms
edp INFO GET /src/lib.js 200 - - 1.580 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 10.969 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 0.913 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 133.002 ms
edp INFO GET /example/ 200 - - 0.852 ms
edp INFO GET /src/uploader.less 200 - - 14.708 ms
edp INFO GET /example/jquery.js 200 - - 19.225 ms
